(221, 3876, 'B'),
(222, 3880, 'B'),
(223, 3928, 'A'),
(224, 3929, 'A'),
(225, 3933, 'B'),
(226, 3935, 'B'),
(227, 3938, 'B'),
(228, 3985, 'B'),
(229, 3989, 'B'),
(230, 3991, 'A'),
(231, 4000, 'B'),
(232, 4003, 'B'),
(233, 4004, 'B'),
(234, 4006, 'C'),
(235, 4058, 'B'),
(236, 4059, 'B'),
(237, 4078, 'A'),
(238, 4083, 'B'),
(239, 4089, 'C'),
(240, 4091, 'C'),
(241, 4145, 'B'),
(242, 4152, 'C'),
(243, 4155, 'B'),
(244, 4156, 'B'),
(245, 4157, 'B'),
(246, 4158, 'A'),
(247, 4159, 'B'),
(248, 4160, 'B'),
(249, 4162, 'B'),
(250, 4165, 'B'),
(251, 4230, 'B'),
(252, 4234, 'B'),
(253, 4255, 'A'),
(254, 4263, 'B'),
(255, 4265, 'B'),
(256, 4305, 'B'),
(257, 4307, 'B'),
(258, 4309, 'B'),
(259, 4327, 'B'),
(260, 4328, 'B'),
(261, 4330, 'B'),
(262, 4331, 'B'),
(263, 4336, 'C'),
(264, 4338, 'C'),
(265, 4391, 'B'),
(266, 4558, 'B'),
(267, 4571, 'C'),
(268, 4581, 'C'),
(269, 4584, 'B'),
(270, 4641, 'B'),
(271, 4642, 'B'),
(272, 4643, 'B'),
(273, 4719, 'B'),
(274, 4731, 'A'),
(275, 4735, 'B'),
(276, 4736, 'B'),
(277, 4766, 'B'),
(278, 4797, 'B'),
(279, 4801, 'B'),
(280, 4817, 'B'),
(281, 4819, 'A'),
(282, 4954, 'B'),
(283, 4956, 'B'),
(284, 4957, 'A'),
(285, 4959, 'B'),
(286, 4984, 'B'),
(287, 5040, 'B'),
(288, 5041, 'B'),
(289, 5045, 'B'),
(290, 5047, 'B'),
(291, 5060, 'B'),
(292, 5072, 'B'),
(293, 5109, 'B'),
(294, 5114, 'B'),
(295, 5137, 'B'),
(296, 5138, 'B'),
(297, 5232, 'B'),
(298, 5250, 'A'),
(299, 5289, 'A'),
(300, 5322, 'B'),
(301, 5337, 'C'),
(302, 5446, 'B'),
(303, 5469, 'B'),
(304, 5522, 'A'),
(305, 5547, 'B'),
(306, 5548, 'B'),
(307, 5598, 'B'),
(308, 5682, 'A'),
(309, 5693, 'B'),
(310, 5706, 'A'),
(311, 5828, 'B'),
(312, 5830, 'B'),
(313, 5832, 'B'),
(314, 5893, 'A'),
(315, 5905, 'B'),
(316, 5987, 'B'),
(317, 6048, 'A'),
(318, 6060, 'B'),
(319, 6159, 'B'),
(320, 6176, 'C'),
(321, 6277, 'B'),
(322, 6290, 'B'),
(323, 6299, 'B'),
(324, 6300, 'A'),
(325, 6401, 'B'),
(326, 6420, 'C'),
(327, 6434, 'C'),
(328, 6495, 'B'),
(329, 6515, 'B'),
(330, 6566, 'B'),
(331, 6582, 'C'),
(332, 6639, 'A'),
(333, 6640, 'B'),
(334, 6641, 'B'),
(335, 6664, 'A'),
(336, 6727, 'C'),
(337, 6789, 'B'),
(338, 6936, 'B'),
(339, 6984, 'A'),
(340, 7042, 'B'),
(341, 7278, 'A'),
(342, 7288, 'B'),
(343, 7335, 'A'),
(344, 7441, 'C'),
(345, 7493, 'B'),
(346, 7495, 'B'),
(347, 7502, 'C'),
(348, 7549, 'A'),
(349, 7573, 'B'),
(350, 7575, 'B'),
(351, 7577, 'A'),
(352, 7651, 'B'),
(353, 7729, 'C'),
(354, 7854, 'B'),
(355, 7866, 'A'),
(356, 7868, 'B'),
(357, 8139, 'A'),
(358, 8180, 'B'),
(359, 8203, 'B'),
(360, 8325, 'B'),
(361, 8364, 'C'),
(362, 8412, 'A'),
(363, 8443, 'B'),
(364, 8516, 'B'),
(365, 8590, 'A'),
(366, 8599, 'B'),
(367, 8627, 'C'),
(368, 8923, 'C'),
(369, 8989, 'B'),
(370, 9029, 'B'),
(371, 9031, 'B'),
(372, 9037, 'B'),
(373, 9108, 'B'),
(374, 9120, 'C'),
(375, 9253, 'C'),
(376, 9326, 'B'),
(377, 9406, 'B'),
(378, 9481, 'C'),
(379, 9491, 'C'),
(380, 9556, 'B'),
(381, 9557, 'B'),
(382, 9607, 'C'),
(383, 9611, 'B'),
(384, 9673, 'A'),
(385, 9764, 'C'),
(386, 9767, 'B'),
(387, 9812, 'B'),
(388, 9827, 'C'),
(389, 9870, 'A'),
(390, 9908, 'B'),
(391, 9930, 'B'),
(392, 10078, 'B'),
(393, 10138, 'C'),
(394, 10149, 'C'),
(395, 10168, 'C'),
(396, 10333, 'A'),
(397, 10334, 'A'),
(398, 10390, 'A'),
(399, 10454, 'A'),
(400, 10474, 'C'),
(401, 10635, 'C'),
(402, 10639, 'B'),
(403, 10655, 'C'),
(404, 10659, 'B'),
(405, 10714, 'B'),
(406, 10716, 'B'),
(407, 10718, 'B'),
(408, 10783, 'C'),
(409, 10788, 'B'),
(410, 10791, 'B'),
(411, 10804, 'B'),
(412, 10872, 'B'),
(413, 10896, 'C'),
(414, 10901, 'C'),
(415, 10942, 'A'),
(416, 10984, 'B'),
(417, 11013, 'A'),
(418, 11031, 'B'),
(419, 11110, 'B'),
(420, 11163, 'B'),
(421, 11229, 'B'),
(422, 11241, 'A'),
(423, 11428, 'B'),
(424, 11491, 'B'),
(425, 11497, 'C'),
(426, 11639, 'B'),
(427, 11735, 'B'),
(428, 11746, 'C'),
(429, 11802, 'B'),
(430, 12107, 'B'),
(431, 12180, 'C'),
(432, 12240, 'C'),
(433, 12250, 'C'),
(434, 12258, 'C'),
(435, 12313, 'C'),
(436, 12330, 'C'),
(437, 12333, 'A'),
(438, 12338, 'C'),
(439, 12405, 'A'),
(440, 12413, 'B'),
(441, 12475, 'B'),
(442, 12483, 'C'),
(443, 12499, 'C'),
(444, 12622, 'B'),
(445, 12626, 'B'),
(446, 12679, 'B'),
(447, 12745, 'C'),
(448, 12794, 'C'),
(449, 12931, 'B'),
(450, 13057, 'A'),
(451, 13109, 'B'),
(452, 13110, 'A'),
(453, 13215, 'B'),
(454, 13275, 'B'),
(455, 13408, 'B'),
(456, 13411, 'A'),
(457, 13496, 'A'),
(458, 13525, 'B'),
(459, 13548, 'B'),
(460, 13560, 'C'),
(461, 13589, 'C'),
(462, 13594, 'B'),
(463, 13602, 'C'),
(464, 13925, 'A'),
(465, 13949, 'B'),
(466, 13964, 'A'),
(467, 14005, 'A'),
(468, 14063, 'B'),
(469, 14085, 'B'),
(470, 14227, 'B'),
(471, 14230, 'B'),
(472, 14236, 'A'),
(473, 14268, 'B'),
